mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_callbacks,param_epochs,param_model__dropout_rate,param_model__hidden_layer_sizes,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.367518901824951,0.5901412449702198,0.16188812255859375,0.0008096580744201174,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.2,"(64, 32)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (64, 32), 'model__learning_rate': 0.001}",0.687842278203724,0.6296296296296297,0.6309794988610479,0.6494838022314672,0.027129136193658854,7
6.320629835128784,0.633462152323604,0.16312432289123535,0.0004720933904561888,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.2,"(64, 32)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (64, 32), 'model__learning_rate': 0.0005}",0.6939226519337016,0.6284403669724771,0.6262857142857143,0.6495495777306309,0.03138882941136386,6
3.362401564915975,0.3486757733033517,0.16316811243693033,0.003210594587318966,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.2,"(128, 64)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (128, 64), 'model__learning_rate': 0.001}",0.6724700761697497,0.6285714285714286,0.6081871345029239,0.6364095464147007,0.026822269551362212,33
4.866998116175334,0.7469292721835858,0.1653606096903483,0.00019979129192408484,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.2,"(128, 64)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (128, 64), 'model__learning_rate': 0.0005}",0.6674057649667405,0.6311010215664018,0.632420091324201,0.6436422926191144,0.016811939205393645,18
4.811000823974609,0.8548621524968868,0.18479681015014648,0.01223577069653848,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.2,"(64, 64)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (64, 64), 'model__learning_rate': 0.001}",0.6810810810810811,0.6338185890257558,0.6254295532646048,0.6467764077904806,0.02449764529407672,12
7.002954165140788,1.679480623401815,0.19545658429463705,0.007292622696802887,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.2,"(64, 64)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (64, 64), 'model__learning_rate': 0.0005}",0.6791208791208792,0.6307519640852974,0.6155632984901278,0.6418120472321015,0.027100253299176355,24
6.002350648244222,0.9109358527639142,0.1745762825012207,0.008313585997998085,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.3,"(64, 32)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.3, 'model__hidden_layer_sizes': (64, 32), 'model__learning_rate': 0.001}",0.6829268292682927,0.6330275229357798,0.6300448430493274,0.6486663984178,0.02425636598740365,8
7.820468266805013,1.5598063353832676,0.1742436091105143,0.0018164619597494044,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.3,"(64, 32)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.3, 'model__hidden_layer_sizes': (64, 32), 'model__learning_rate': 0.0005}",0.6895027624309392,0.63718820861678,0.6063454759106933,0.6443454823194709,0.03432398093164593,16
4.443250338236491,0.6632069314138144,0.16917196909586588,0.0037859363666724074,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.3,"(128, 64)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.3, 'model__hidden_layer_sizes': (128, 64), 'model__learning_rate': 0.001}",0.6711111111111111,0.6342015855039638,0.6144859813084113,0.6399328926411619,0.023469657608904685,28
5.762337843577067,0.6056218180660665,0.1743157704671224,0.00191152624084847,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>],50,0.3,"(128, 64)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027245389C90>], 'epochs': 50, 'model__dropout_rate': 0.3, 'model__hidden_layer_sizes': (128, 64), 'model__learning_rate': 0.0005}",0.6674008810572687,0.6318234610917538,0.604982206405694,0.6347355161849055,0.025565377433343275,35
