mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_callbacks,param_epochs,param_model__dropout_rate,param_model__hidden_layer_sizes,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.175135215123495,0.29883926121745147,0.22729253768920898,0.0022038460255859094,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.2,"(64, 32)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (64, 32), 'model__learning_rate': 0.001}",0.9062142584826535,0.9001161440185831,0.897316219369895,0.9012155406237105,0.0037148602203016154,12
13.70462942123413,1.3729206535920309,0.22568162282307944,0.0018768036481963493,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.2,"(64, 32)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (64, 32), 'model__learning_rate': 0.0005}",0.903312272640245,0.9013374685016476,0.897116134060795,0.9005886250675625,0.0025843900880112786,17
12.251807848612467,1.0120581361143426,0.2301799456278483,0.004939773600374087,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.2,"(128, 64)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (128, 64), 'model__learning_rate': 0.001}",0.9032380952380953,0.8973119319280604,0.8990015360983102,0.8998505210881552,0.002492713986673653,21
14.460857073465982,1.6775304704041925,0.2294447422027588,0.0025510899894088525,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.2,"(128, 64)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (128, 64), 'model__learning_rate': 0.0005}",0.9069943289224953,0.9018700597647966,0.8987635239567233,0.902542637548005,0.0033937008561935704,5
13.082897186279297,2.350722854405104,0.2261669635772705,0.001783659802386318,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.2,"(64, 64)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (64, 64), 'model__learning_rate': 0.001}",0.905790177718326,0.9027297193387159,0.9010607521697204,0.9031935497422542,0.001958438236177968,4
15.683653434117636,2.8368565716579743,0.22714893023173013,0.0025955437661833026,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.2,"(64, 64)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.2, 'model__hidden_layer_sizes': (64, 64), 'model__learning_rate': 0.0005}",0.9033621517771374,0.902066834073788,0.8994014288472678,0.9016101382327312,0.001648890505810438,10
13.713862657546997,2.5919937721737165,0.22892173131306967,0.0025513507449497776,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.3,"(64, 32)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.3, 'model__hidden_layer_sizes': (64, 32), 'model__learning_rate': 0.001}",0.9058485139022052,0.8995531377501457,0.8969932104752667,0.9007982873758725,0.003720833050865812,16
15.985776027043661,2.671435087985105,0.22501921653747559,0.0007667132514196161,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.3,"(64, 32)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.3, 'model__hidden_layer_sizes': (64, 32), 'model__learning_rate': 0.0005}",0.9043578866178172,0.8994174757281553,0.892871055707051,0.8988821393510079,0.004704732360128216,25
9.671246210734049,2.1955676893040597,0.2285324732462565,0.0013164555741619754,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.3,"(128, 64)",0.001,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.3, 'model__hidden_layer_sizes': (128, 64), 'model__learning_rate': 0.001}",0.9043215701075674,0.8957198443579767,0.9013487475915222,0.9004633873523554,0.0035670079462219767,18
12.721962769826254,1.8778660974336296,0.23101933797200522,0.0033000170259828232,32,[<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>],50,0.3,"(128, 64)",0.0005,"{'batch_size': 32, 'callbacks': [<keras.src.callbacks.early_stopping.EarlyStopping object at 0x0000027200FFE590>], 'epochs': 50, 'model__dropout_rate': 0.3, 'model__hidden_layer_sizes': (128, 64), 'model__learning_rate': 0.0005}",0.9059339820644915,0.902302186109499,0.8977846871356393,0.9020069517698767,0.0033334791080614464,6
